user_id,speech_prob_calm,speech_prob_stressed,speech_prob_sad,speech_prob_anxious,speech_prob_neutral,speech_prob_energetic,dominant_speech_emotion,pitch_mean_hz,pitch_variance,energy_mean,speech_rate_wpm,pause_ratio,jitter,shimmer,speech_embed_0,speech_embed_1,speech_embed_2,speech_embed_3,speech_embed_4,speech_embed_5,speech_embed_6,speech_embed_7,speech_embed_8,speech_embed_9,speech_embed_10,speech_embed_11,speech_embed_12,speech_embed_13,speech_embed_14,speech_embed_15
U00043,0.2488,0.1658,0.179,0.154,0.2513,0.001,neutral,191.6,22.86,0.471,136.3,0.297,0.0062,0.0268,-0.8734,-0.4897,0.5161,-0.6349,-1.2904,0.6662,-1.0987,-1.9666,-0.1346,-0.4509,0.3863,-1.5159,-0.4178,-1.1434,-0.215,-1.1681
U00044,0.2301,0.1694,0.1247,0.1204,0.3004,0.055,neutral,190.6,40.29,0.485,142.3,0.2,0.0151,0.0612,0.9271,0.7797,-1.1307,-0.6604,0.3412,-2.1026,-1.0303,0.9636,0.8177,0.0453,0.472,1.9623,-0.488,1.9121,0.2401,-0.4258
U00045,0.2926,0.1014,0.1151,0.1115,0.3171,0.0623,neutral,178.7,31.68,0.333,165.2,0.184,0.0101,0.0426,-0.3712,0.215,-1.0322,-0.7989,0.1233,-0.7331,-1.7376,1.2825,-1.565,0.7093,-0.3389,0.9705,-0.0958,-0.2529,0.3279,-0.1058
U00046,0.1892,0.1753,0.1726,0.1441,0.2817,0.0371,neutral,213.6,31.51,0.658,147.8,0.402,0.0153,0.0335,-0.5833,0.3584,0.8138,-1.0171,0.6461,-0.075,0.5127,-1.5619,-1.2088,-1.7479,-0.4697,0.5387,0.8272,-1.1224,-0.0141,-0.0246
U00047,0.2241,0.1654,0.0809,0.1435,0.2916,0.0945,neutral,199.3,44.05,0.517,149.9,0.141,0.01,0.0308,-0.3295,1.8307,-0.0641,1.153,0.397,0.6114,-0.0101,-0.3147,-0.0283,-0.9853,-0.7868,-0.2071,-0.0929,-2.2134,-1.2172,0.4049
U00048,0.217,0.118,0.1424,0.2381,0.2773,0.0073,neutral,192.7,37.32,0.454,155.6,0.325,0.013,0.0477,-1.0906,-0.4931,1.2288,-1.3019,0.4527,-1.6651,-0.9764,-1.0435,-1.2465,-1.7855,-1.6668,-2.1993,-1.2051,-1.3013,-0.426,0.9603
U00049,0.2648,0.1451,0.1028,0.1419,0.2953,0.0501,neutral,205.8,30.02,0.478,150.5,0.106,0.0101,0.0341,-0.8378,0.2814,-1.0108,-0.8034,0.6932,-0.2325,0.4998,0.3446,1.5433,-0.6839,-1.4841,-1.8489,-0.8201,0.8441,0.4303,-0.3972
U00050,0.3109,0.0794,0.1342,0.0954,0.3164,0.0637,neutral,204.4,30.14,0.778,150.4,0.18,0.0135,0.0405,1.485,1.3528,-2.1056,-0.3899,-0.7474,0.6415,-0.7003,1.8811,-0.9661,-1.5997,0.0627,0.6366,-1.1132,1.1481,-0.7495,-0.4696
U00051,0.1987,0.1917,0.2315,0.15,0.2264,0.0018,sad,169.6,24.86,0.474,119.6,0.267,0.0151,0.0589,-1.7737,-0.0757,-0.5739,-1.1933,-0.6137,-0.1089,-2.0329,-0.3405,-0.4895,0.3023,-0.0782,1.1347,0.6001,-0.7329,0.8926,-0.3068
U00052,0.3061,0.1147,0.1218,0.0616,0.2941,0.1018,calm,194.3,17.64,0.495,135.8,0.169,0.001,0.0254,-0.0141,-0.5564,1.5961,-0.4612,-0.1646,-1.8008,-1.0961,0.7478,-0.6918,-0.2093,-0.6389,0.5913,-1.2943,-0.6851,0.3321,-0.4239
U00053,0.2444,0.1315,0.0704,0.1277,0.3527,0.0733,neutral,202.4,36.68,0.611,121.9,0.154,0.0145,0.0272,-1.9129,0.8714,0.775,1.2149,-2.0369,-0.3479,-0.5786,-1.1393,0.0231,0.1676,-0.4265,1.4998,-2.1392,0.2907,-1.4519,-0.028
U00054,0.1959,0.2289,0.1521,0.1785,0.1904,0.0542,stressed,203.7,38.51,0.464,127.3,0.241,0.0137,0.0358,-0.3375,0.8994,-0.9824,-0.3819,-0.692,-0.7046,-0.7994,1.0656,-0.6058,0.3957,-0.5538,1.2198,0.7899,0.3009,0.2179,0.1312
U00055,0.2585,0.1252,0.1797,0.1269,0.2694,0.0404,neutral,172.8,22.21,0.567,127.1,0.069,0.0124,0.0177,0.0999,1.4958,0.3017,0.6047,0.497,-2.0219,-2.3067,0.3408,0.5799,0.3645,0.1986,-0.7861,0.2955,0.7848,-0.5848,-0.9098
U00056,0.2288,0.1064,0.12,0.1449,0.3446,0.0552,neutral,160.5,34.95,0.457,163.6,0.248,0.0157,0.0218,-0.8038,0.8161,-0.4276,-2.4138,1.4725,-0.5074,0.1169,0.2205,-0.3226,0.992,-0.3603,-0.5158,2.2598,-1.8211,-0.0314,0.1876
U00057,0.2485,0.1936,0.1284,0.1007,0.2713,0.0576,neutral,209.4,39.19,0.482,137.1,0.238,0.015,0.0212,-1.6454,0.2336,-1.2175,-1.6257,0.0795,-1.447,-0.5148,0.5024,-1.4001,0.2815,0.5585,-1.2657,1.2668,-1.0266,0.0643,-1.302
U00058,0.2289,0.1637,0.1615,0.144,0.2588,0.0431,neutral,147.0,33.66,0.342,140.6,0.22,0.0074,0.0333,-0.6442,0.309,-0.1818,-0.8594,-1.5463,1.7713,-0.8206,-1.0719,1.0152,-0.3155,0.7819,-0.1693,0.0819,0.3169,-0.21,-1.1728
U00059,0.2027,0.1385,0.1937,0.1639,0.2483,0.0528,neutral,190.6,45.72,0.246,133.2,0.22,0.0206,0.0453,1.158,1.2446,0.234,-0.1714,-1.8511,0.1284,1.6684,0.8516,-1.0012,-0.7371,1.3351,-1.5803,-0.1884,-1.1122,-0.9206,-0.0479
U00060,0.2432,0.1223,0.1442,0.1467,0.2793,0.0643,neutral,215.8,25.49,0.521,138.9,0.232,0.019,0.024,-0.2257,-0.7778,0.9652,1.3459,-1.3814,0.3695,3.1044,-0.017,-0.2586,0.1852,0.6887,1.1704,1.3404,-1.219,0.952,-0.2818
U00061,0.2417,0.1272,0.143,0.1127,0.3126,0.0628,neutral,201.1,37.43,0.411,131.7,0.245,0.0061,0.0373,-0.662,-0.6056,0.1864,1.1271,0.3468,-1.5571,-0.1445,0.6512,-0.5207,-0.296,-0.7417,0.9191,-1.203,-0.6086,-1.2475,0.5962
U00062,0.1865,0.1714,0.1546,0.1806,0.2694,0.0374,neutral,152.1,41.73,0.498,140.5,0.08,0.0165,0.0357,-1.0654,-0.4431,0.7767,1.4198,0.7831,-0.5519,1.1994,1.0604,-0.3469,-2.2726,-1.2715,-2.596,-0.8894,-0.3474,-2.1295,0.472
U00063,0.2587,0.1088,0.1524,0.099,0.36,0.021,neutral,168.0,30.52,0.506,136.9,0.108,0.0145,0.0323,-0.8834,1.3129,-0.6861,-0.6194,-0.1324,0.212,-0.0116,-2.6487,-0.5897,-0.6743,-1.4859,-1.5673,0.8233,-0.1568,-0.8257,0.0481
U00064,0.2174,0.1742,0.1714,0.1539,0.2557,0.0275,neutral,214.1,49.56,0.488,120.6,0.26,0.0156,0.0489,-0.7588,-0.3019,0.1936,-1.0602,-0.0874,-0.1699,-2.6216,-0.5452,-1.8788,0.9794,-1.0074,-0.8646,0.3917,-2.8018,-1.5844,0.87
U00065,0.2725,0.1274,0.13,0.1198,0.2967,0.0536,neutral,221.5,25.22,0.357,138.8,0.218,0.0123,0.0373,1.3419,-1.3854,-0.4763,1.1377,1.4544,0.0707,-2.077,0.5193,0.5784,0.0892,-0.6883,-0.9833,0.6654,0.1559,0.8433,-0.525
U00066,0.3006,0.0708,0.145,0.1525,0.2891,0.042,calm,205.0,46.93,0.513,144.4,0.131,0.0089,0.0417,0.4904,-1.0889,-0.2939,0.2819,-0.6518,0.4196,0.1037,1.097,0.733,-0.4703,0.0229,-0.786,2.0441,0.6596,-1.4136,-0.2557
U00067,0.2306,0.1191,0.1251,0.1533,0.3317,0.0402,neutral,186.8,34.54,0.532,124.1,0.126,0.011,0.0417,-1.061,-0.688,-0.3955,-1.7664,-0.5267,0.2478,-1.1089,-0.6167,-0.7237,0.505,-1.7961,-0.6948,1.387,0.984,0.9116,1.228
U00068,0.2269,0.1915,0.0728,0.1266,0.3106,0.0716,neutral,190.2,25.72,0.22,149.9,0.279,0.014,0.0394,0.1295,-1.0855,-0.3958,-1.4306,0.7828,-2.563,-0.5135,1.4927,0.2294,-1.3817,0.1855,0.5618,-0.0764,0.33,-1.4714,-0.9341
U00069,0.2632,0.1291,0.1124,0.1013,0.3225,0.0715,neutral,204.3,15.39,0.604,128.0,0.179,0.0138,0.0556,1.6183,-0.2662,0.2253,-0.7969,-0.1543,-0.2162,0.1274,-0.7554,0.2972,0.1717,-1.2671,-0.3028,-0.7255,1.8432,1.0854,0.7894
U00070,0.2349,0.1624,0.0962,0.0895,0.325,0.092,neutral,167.2,28.66,0.605,142.6,0.173,0.0202,0.0269,-0.5812,2.6809,0.362,0.3891,1.4277,0.4633,1.2113,-1.5186,0.3808,-0.2753,0.403,-2.3113,-1.5435,-0.1572,0.6377,-1.4163
U00071,0.1992,0.1734,0.1383,0.1794,0.2942,0.0156,neutral,187.0,31.03,0.608,155.0,0.171,0.0221,0.0272,-0.8006,-1.4255,-0.7913,-2.5765,-0.3469,-2.0592,-0.8263,0.8114,-0.183,1.888,0.7357,0.7094,-0.894,-0.6203,0.1854,-0.8452
U00072,0.2209,0.1976,0.147,0.1113,0.2883,0.0348,neutral,177.9,54.49,0.497,173.0,0.182,0.0117,0.0354,-0.4357,-0.6367,-1.3272,0.6058,-0.2364,0.5086,-0.0126,2.2225,-0.1848,0.6477,0.9638,-1.4976,-1.3829,-1.3272,-0.6987,-0.6337
U00073,0.3103,0.1816,0.0715,0.0763,0.2992,0.0611,calm,152.4,28.77,0.555,146.6,0.135,0.0115,0.0156,0.6146,-0.0876,0.2725,-0.0165,-1.6935,-0.5276,1.2891,0.5146,-0.2905,0.7347,0.9368,1.3078,0.7148,1.3976,-0.0213,0.8533
U00074,0.0934,0.2495,0.1883,0.2184,0.2495,0.0008,stressed,229.1,47.41,0.422,112.4,0.307,0.0266,0.0539,0.3953,0.0476,-1.5247,-0.8106,-0.8794,0.1193,-0.6969,-0.829,-0.3242,-1.0348,0.043,-0.5975,0.4754,0.0189,-0.5648,0.7001
U00075,0.2482,0.1367,0.1252,0.1378,0.2715,0.0805,neutral,172.8,21.18,0.508,150.7,0.118,0.0107,0.0402,0.5428,0.6318,-1.1408,2.1203,-1.6607,-0.3238,-2.4463,-1.1332,-1.024,1.1195,1.5422,0.0875,-0.6219,-2.7221,-0.9535,-1.9766
U00076,0.2262,0.1555,0.1515,0.1479,0.2761,0.0428,neutral,184.3,43.01,0.561,132.9,0.198,0.0241,0.0326,0.3663,0.701,-0.2611,-0.9336,-2.1599,0.3206,-0.0565,-1.0097,0.2581,-0.1451,-1.0574,-1.7115,-0.7145,1.1461,0.3918,0.0998
U00077,0.2359,0.1596,0.1436,0.1715,0.2791,0.0103,neutral,167.4,35.14,0.424,136.2,0.233,0.0228,0.037,0.1012,-1.4439,0.9984,1.3716,-0.777,-1.639,-2.1143,-0.2022,-0.6859,1.0174,-0.0901,-1.066,0.5256,-2.4759,-0.4129,-0.3036
U00078,0.2535,0.13,0.1251,0.1214,0.2881,0.082,neutral,169.1,39.4,0.382,140.2,0.273,0.0113,0.0324,-0.0473,-3.2875,-0.946,-0.6309,-0.4646,-0.0305,-0.2826,0.9804,1.5078,-0.3467,-0.8996,1.0074,-0.5006,-0.8784,0.5678,-0.2237
U00079,0.2081,0.1973,0.1714,0.2208,0.2006,0.0018,anxious,214.3,36.41,0.545,124.9,0.307,0.0169,0.0305,-0.8936,-1.0241,-1.2044,-1.4408,0.8411,-1.242,-0.2337,-0.6868,0.2702,1.1726,0.9851,-1.0912,-0.0001,0.6203,-0.8509,0.4505
U00080,0.2632,0.1226,0.2071,0.098,0.2584,0.0506,calm,204.6,38.46,0.689,158.8,0.225,0.0198,0.0347,-0.131,-0.7401,0.822,-0.609,-1.5765,-1.5849,-1.3698,0.2252,-0.4193,-0.2319,0.135,0.2531,-0.5821,-0.3581,-0.717,0.1051
U00081,0.26,0.1016,0.1202,0.1413,0.3351,0.0418,neutral,157.7,20.63,0.457,143.5,0.154,0.0049,0.0486,-2.0123,1.6251,0.4194,1.2832,-1.1374,-0.5028,-0.3526,-0.5959,0.0976,0.1101,-1.0337,1.7509,-1.2576,0.3483,0.1069,0.1341
U00082,0.19,0.1584,0.1405,0.1662,0.2661,0.0788,neutral,202.5,38.97,0.506,161.8,0.273,0.0102,0.0393,0.7541,1.3996,-0.8546,-1.0999,-1.2659,-1.5211,-0.2157,-0.8844,0.351,-0.829,-1.3552,0.7288,-0.2771,0.6149,-0.7354,1.5043
U00083,0.2149,0.1575,0.1125,0.1813,0.2802,0.0536,neutral,155.4,22.57,0.282,125.2,0.303,0.0167,0.0262,-1.9528,-0.0969,0.7116,0.0784,1.1216,-0.0333,1.1018,1.9899,-0.6359,0.2812,-2.5904,0.2958,-1.4991,0.1819,-0.8812,0.0181
U00084,0.2713,0.109,0.1405,0.1295,0.2561,0.0935,calm,168.9,22.9,0.468,160.2,0.274,0.0139,0.0254,-0.0064,-0.0111,0.8607,-0.0294,0.5595,0.0097,0.4798,0.844,-1.1401,-0.2142,-0.3047,0.7151,-0.0745,-0.7957,-0.4842,0.0867
U00085,0.1884,0.2084,0.1705,0.1873,0.2445,0.001,neutral,203.1,46.73,0.368,108.6,0.325,0.0114,0.0619,-0.7058,-0.423,0.4077,-0.8877,-0.2427,-0.233,1.0728,1.4299,-0.6748,0.8756,-2.7203,-0.877,0.0137,-2.039,1.5323,0.8595
U00086,0.2147,0.1975,0.1449,0.1369,0.2704,0.0355,neutral,189.6,27.25,0.5,145.3,0.228,0.0137,0.061,-1.8633,-2.0533,-1.1278,-0.2684,-0.6479,-1.6653,1.6573,0.2886,-0.5834,-1.1739,-0.5203,-0.7588,0.1334,-1.5511,-1.0345,0.6018
U00087,0.2302,0.172,0.1339,0.1355,0.2641,0.0643,neutral,182.0,14.47,0.612,148.7,0.112,0.0128,0.034,-1.2054,0.398,1.1624,-0.7035,-0.6713,-1.1939,-2.474,0.173,1.6521,-0.4059,-0.4294,-0.3162,-0.7586,-1.3948,2.3104,0.2178
